title,thumbnail-path,video-button,date,description,video-path,video-poster-path
LEAP Meme Review,thumbnails/leap.png,"LEAP Meme Review
07.27.2019","July 27th, 2019","I had a great two weeks, guys! Thanks for making it so special!",../../video-data/Other Videos/01. FINAL Leap Video Meme funny.mp4,null
【Collab】otoMEDkulec ~mikulec gaming 4~,thumbnails/mmg4.png,"【Collab】otoMEDkulec ~mikulec gaming 4~
04.13.2021","April 13th, 2021","This is a YTPMV collaboration involving multiple people that I participated in. I did the parts from 0:02 to 0:41.

Huge thanks to Bananaman47 and Wafflenet for also helping (much more than I did) to produce this masterpiece.

Here is the original <a href=”https://youtu.be/Lt-6IK9CuKM”>YouTube upload</a>

and here is the ""error-free"" version. (???)",../../video-data/Other Videos/mmg4.mp4,../../thumbnails/mmg4.png
I can properly exit a room,thumbnails/Lower-quality-videos/04.jpg,"I can properly exit a room
02.11.2017","Feb 11, 2017","What the title says. I like sweet, tasty memes; I like them fried.",../../video-data/Lower-quality-videos/04. I can properly exit a room - Copy.mp4,../../thumbnails/Lower-quality-videos/04.jpg
Closest. Race. Ever.,thumbnails/Lower-quality-videos/06.jpg,"Closest. Race. Ever.
02.13.2017","Feb 13, 2017",Mario Kart 8,../../video-data/Lower-quality-videos/06. Closest. Race. Ever. - Copy.mp4,../../thumbnails/Lower-quality-videos/06.jpg
How to Put Effects on Your Messages in iMessage!,thumbnails/Lower-quality-videos/10.jpg,"How to Put Effects on Your Messages in iMessage!
06.01.2017","June 1st, 2017","DISHWASHER DADDY


Suggested by Bob DaDerpyMan:

https://www.youtube.com/channel/UC9L_zwtqD56HiTGIU1Cnnuw/videos",../../video-data/Lower-quality-videos/10. How to Put Effects on Your Messages in iMessage! - Copy.mp4,../../thumbnails/Lower-quality-videos/10.jpg
The Basketball Bros.,thumbnails/Lower-quality-videos/13.jpg,"The Basketball Bros.
08.19.2017","August 19th, 2017","The Basketball Bros. are a group of four kids who do nothing but blow up stuff. They blow up yoga balls, the basement, and even themselves sometimes.",../../video-data/Lower-quality-videos/13. The Basketball Bros. - Copy.mp4,../../thumbnails/Lower-quality-videos/13.jpg
Darude Chairstorm (Darude Sandstorm YTPMV),thumbnails/Lower-quality-videos/14.jpg,"Darude Chairstorm (Darude Sandstorm YTPMV)
09.03.2017","September 3rd, 2017","This is my first YTPMV.

It was based on this video: video",../../video-data/Lower-quality-videos/14. Darude Chairstorm (Darude Sandstorm YTPMV) - Copy.mp4,../../thumbnails/Lower-quality-videos/14.jpg
I just cut the cheese,thumbnails/Lower-quality-videos/20.jpg,"I just cut the cheese
01.31.2019","January 31st, 2019",Cotained within this video is a human being slaudered by his own foolishness.,../../video-data/Lower-quality-videos/20. I just cut the cheese - Copy.mp4,../../thumbnails/Lower-quality-videos/20.jpg
My Biased Thoughts on Nintendo,thumbnails/my-biased-thoughts-on-nintendo-thumbnail - Copy.png,"My Biased Thoughts on Nintendo
10.12.2016","October 12th, 2016","In this video, I just talk about my experience with, and what I think of Nintendo. Warning: this video contains potential bias and has bad video quality. Enjoy though!

Music by Nintendo, remixed my ""Various Artists""

Edited with Pinnacle Studio (not pro) for iPad

Filmed with iPad Gen. 3

Images not owned by me.

Text made with www.cooltext.com",../video-data/03. My Biased Thoughts on Nintendo.mp4,../thumbnails/my-biased-thoughts-on-nintendo-thumbnail - Copy.png
Summation Notation and Halloween Evolution,thumbnails/summation-notation - Copy.png,"Summation Notation and Halloween Evolution
11.22.2016","November 22nd, 2016","In this video, my Furby drags me out of my chair and across the floor. Then he proceeds to force me to eat the Halloween Stone. When I eat it, I evolve into Halloween Jacob. In the rest of the video (Most of the video), I try to explain Summation Notation to my favorite meme, Doge. 

Music by Nintendo, remixed my ""CrazyGroupTrio""

Edited with Pinnacle Studio (not pro) for iOS

Filmed with iPhone Gen. 5

Images not owned by me.

Text made with www.cooltext.com",../video-data/04. Summation Notation and Halloween Evolution.mp4,../thumbnails/summation-notation - Copy.png
The DS Curse,thumbnails/the-ds-curse - Copy.png,"The DS Curse
12.19.2016","December 19th, 2016","Hundreds of Thousands of 3DS's get abused everyday when parents don't call them by their rightful name. It's just heartbreaking to see a 3DS get a abused like that. I know, because I've witnessed it. At The Logic Nerds Foundation, we help 3DS's in need by informing those nasty parents that it's NOT just a DS. By donating just one leek to this video, you could save a 3DS from getting abused with wrong titles. Thank you, and enjoy the video.

-Credits-

Music by Nintendo, remixed by ""Various Artists"".

Sound clip at 2:51 made by Sound Effect King.

Sound clip at 3:25 made by Snoop Dogg in his song ""Smoke Weed Everyday"".

Edited with Pinnacle Studio (not pro) for iPad.

Filmed with iPad Gen. 3.

Original images not owned by me, some edited in Autodesk Pixlr by me.

Green text made with www.cooltext.com

Information from Wikipedia.",../video-data/05. The DS Curse.mp4,../thumbnails/the-ds-curse - Copy.png
Failing at Solving Rubik's Cubes,thumbnails/failing-at-solving-rubiks-cubes-thumbnail.png,"Failing at Solving Rubik's Cubes
01.27.2017","January 27th, 2017","Sorry the title is a little bit deceiving, but the video is about me attempting to solve Rubik's Cubes (no durr). I finish the 3x3x3 Rubik's Cube in 45 seconds, the 5x5x5 Rubik's cube in 10:01 (not a time link), and I couldn't finish the 7x7x7 Rubik's cube. I had to look up videos on how to solve it, and even after that, I couldn't solve it. Enjoy!

-Credits-

Failed, Edited, and Uploaded with Surface 3 (not pro).

Edited with Pinnacle Studio 19.

Music by the makers of Pinnacle Studio 19 (I don't think I need to cite this)

I used the Shengshou 5x5x5 cube and 7x7x7 cube.

I used the Fangshi 3x3x3 cube.

Made Thumbnail with iPad Gen. 3 and Autodesk Pixlr.

Used google drive in the making of this video.

Entire video made by Jacob.

( ͡° ͜ʖ ͡°)",../video-data/07. Failing at Solving Rubik's Cubes.mp4,../thumbnails/failing-at-solving-rubiks-cubes-thumbnail.png
